length	cima	cima_log
10000	0.090000	0.002000
20000	0.168000	0.001000
30000	0.249000	0.000000
40000	0.363000	0.001000
50000	0.416000	0.001000
60000	0.503000	0.001000
70000	0.590000	0.001000
80000	0.680000	0.001000
90000	0.768000	0.001000
100000	0.866000	0.001000
110000	0.902000	0.001000
120000	0.978000	0.001000
130000	1.061000	0.001000
140000	1.161000	0.001000
150000	1.229000	0.000000
160000	1.307000	0.001000
170000	1.406000	0.001000
180000	1.490000	0.001000
190000	1.625000	0.001000
200000	1.709000	0.001000
210000	1.780000	0.001000
220000	1.883000	0.002000
230000	1.904000	0.001000
240000	2.008000	0.001000
250000	2.063000	0.001000
260000	2.163000	0.001000
270000	2.226000	0.001000
280000	2.340000	0.001000
290000	2.421000	0.002000
300000	2.486000	0.001000
310000	2.600000	0.001000
320000	2.698000	0.002000
330000	3.841000	0.001000
340000	3.630000	0.002000
350000	2.916000	0.001000
360000	2.971000	0.001000
370000	3.076000	0.001000
380000	3.157000	0.001000
390000	3.242000	0.002000
400000	3.325000	0.001000
410000	3.386000	0.001000
420000	3.492000	0.001000
430000	3.572000	0.001000
440000	3.657000	0.002000
450000	3.739000	0.002000
460000	3.821000	0.001000
470000	3.902000	0.001000
480000	4.003000	0.002000
490000	4.084000	0.001000
500000	4.151000	0.001000
510000	4.230000	0.001000
520000	4.312000	0.001000
530000	4.395000	0.002000
540000	4.478000	0.001000
550000	4.579000	0.002000
560000	4.649000	0.001000
570000	4.732000	0.001000
580000	4.824000	0.001000
590000	4.896000	0.001000
600000	4.989000	0.001000
610000	5.077000	0.002000
620000	5.157000	0.002000
630000	5.225000	0.002000
640000	5.326000	0.001000
650000	5.388000	0.002000
660000	5.491000	0.001000
670000	5.559000	0.002000
680000	5.650000	0.002000
690000	5.752000	0.001000
700000	5.823000	0.002000
710000	5.899000	0.002000
720000	5.971000	0.002000
730000	6.086000	0.001000
740000	6.137000	0.001000
750000	6.227000	0.001000
760000	6.299000	0.002000
770000	6.399000	0.002000
780000	6.483000	0.002000
790000	6.547000	0.002000
800000	6.645000	0.002000
810000	6.730000	0.001000
820000	6.795000	0.001000
830000	6.894000	0.001000
840000	6.976000	0.002000
850000	7.081000	0.002000
860000	7.125000	0.002000
870000	7.225000	0.002000
880000	7.318000	0.002000
890000	7.389000	0.001000
900000	7.475000	0.002000
910000	7.556000	0.001000
920000	7.657000	0.002000
930000	7.705000	0.001000
940000	7.800000	0.002000
950000	7.885000	0.002000
960000	7.966000	0.002000
970000	8.066000	0.001000
980000	8.132000	0.002000
990000	8.234000	0.002000
